sample_id,split,text,true_label,prediction,probability,layer,layer_role,projection,strength_by_true_label,strength_by_prediction,logit_negative,logit_positive,logit_margin
11,train,0점없어서 1점줄게 영화관에서 영화보다가 나간적은 첨이다,0,0,0.97750604,0,embedding,-1.2639031,1.2639031,1.2639031,1.9069626,-1.8647963,-3.771759
12,train,중딩이하로 보면 흥미롭게 보겠네요..ㅎㅎ 말도 안되게 끼워 맞추기식 영화 시간 낭비 아침에^^,0,0,0.9765181,0,embedding,-0.22908527,0.22908527,0.22908527,1.906156,-1.8216063,-3.7277622
13,train,그나마 나았던 전편과는 너무나 다르다.,0,1,0.61720306,0,embedding,-0.39232814,0.39232814,-0.39232814,-0.14806797,0.3296255,0.47769344
14,train,나도 10점주고싶은데 베댓애들 영화 안보고 평점 높이줘서 1점줌 밸런스조절,0,0,0.97489697,0,embedding,0.27632743,-0.27632743,-0.27632743,1.8746183,-1.7847251,-3.6593432
15,train,한국 영화 역사상 최대로 과대평가된 영화영화관에서 보고 나왔을때의 그 느낌은 아직까지도 잊을 수 없다.,0,0,0.90770406,0,embedding,0.028888956,-0.028888956,-0.028888956,1.2179714,-1.0679471,-2.2859187
16,train,감동적인 영화 재밌게봤습니다.,1,1,0.98793375,0,embedding,1.6401386,1.6401386,1.6401386,-2.1771035,2.2281048,4.4052086
17,train,최고였고 아직 까지 최고인듯,1,1,0.9877737,0,embedding,1.0595047,1.0595047,1.0595047,-2.1659286,2.2259383,4.3918667
18,train,이거 엄청웃기던데... ㅎㅎ 코믹물로는 최고네요.^^,1,1,0.9868729,0,embedding,-0.67474926,-0.67474926,-0.67474926,-2.1455731,2.1742902,4.3198633
19,train,없어졌던 공황장애를 다시 불러일으키는 암유발영화. 파쇼는 이런 거구나 허허,0,0,0.9732308,0,embedding,-0.5066819,0.5066819,0.5066819,1.8267459,-1.7666224,-3.5933683
20,train,뒤룩뒤룩 살찐 몸에 타이즈 입고 하는 몸개그는 가상하지만 재미는 없다,0,0,0.97637254,0,embedding,-0.0657823,0.0657823,0.0657823,1.8992487,-1.8221837,-3.7214324
21,train,영화적 재미가 있는 영화. 말할 수 없던 이야기를 시작한다,1,1,0.98764414,0,embedding,0.5390606,0.5390606,0.5390606,-2.160868,2.2203298,4.381198
22,train,다세포소녀가 더잼남 0점짜리 영화,0,0,0.97695345,0,embedding,-0.00489825,0.00489825,0.00489825,1.8933314,-1.8535906,-3.746922
23,train,밑에 스파이더맨을 표절하고 모방했다고 나쁘게 보는 시선이 있는데 참 당신들의 무식함에 박수들입니다. 이런류의영화를 패러디영화라고 부르는것입니다. 패러디영화도 영화의 한 장르죠. 근데 이게 문제가 아니라 걍 영화 내용자체가 쓰레기임. 저질임,0,0,0.9705403,0,embedding,-0.38700682,0.38700682,0.38700682,1.8000654,-1.6947633,-3.4948287
24,train,소재는좋으나 영화는별로다. 여기는 영화평점을주는곳이지 한길수를평하는곳이아니다.,0,0,0.9774785,0,embedding,-0.7227893,0.7227893,0.7227893,1.9155073,-1.855,-3.7705073
25,train,당연히 10점만점에10점 그냥 애절하고 슬프지만 절대 후회하지 않을 퀴어무비,1,1,0.9855509,0,embedding,-0.4612838,-0.4612838,-0.4612838,-2.1037817,2.1187885,4.2225704
26,train,볼 가치가 없다. 재미없다.,0,0,0.9762161,0,embedding,-0.124137916,0.124137916,0.124137916,1.872643,-1.8420302,-3.714673
27,train,완전 잼나요!!!! 전작을 안봐서 걱정했는데 크게 상관없더라구요~,1,1,0.98758674,0,embedding,0.3641213,0.3641213,0.3641213,-2.1534808,2.223019,4.3764997
28,train,bomb는 아니다,0,0,0.92197895,0,embedding,-0.47057375,0.47057375,0.47057375,1.2667971,-1.2027467,-2.469544
29,train,포스터만 보구 범죄자 쫓고 그런 영화인지 알았는데...그래도 여자 주인공이 엄청 매력적으로 나온다...보는 내가 설레일정도루...,0,1,0.8939143,0,embedding,-0.79174864,0.79174864,-0.79174864,-1.009562,1.1218005,2.1313624
30,train,그나마 그 여 전사 나와서 2점 준다 3나라가 모여서 이렇게 밖에 못 만드냐,0,0,0.97621197,0,embedding,-0.39232814,0.39232814,0.39232814,1.889833,-1.8246621,-3.7144952
31,train,2004년 최악의 영화중 하나.,0,0,0.9768171,0,embedding,0.24568236,-0.24568236,-0.24568236,1.8923376,-1.8485439,-3.7408814
32,train,전개가 왜이럼 보면서 으잉? 다보고 잉? 배우들 연기만 본듯 내용은 전혀 머릿속에 안들어왔다 뻔하디 뻔한...,0,0,0.9731188,0,embedding,-0.20875145,0.20875145,0.20875145,1.830392,-1.7586886,-3.5890806
33,train,0점 줄 방법이 없냐? 아 개빡치네,0,0,0.97419554,0,embedding,-1.2639031,1.2639031,1.2639031,1.8542695,-1.776794,-3.6310635
34,train,우울한내삶에웃게해준미드,1,1,0.9755297,0,embedding,0.7436547,0.7436547,0.7436547,-1.8023578,1.8831617,3.6855195
35,train,다시봐도 가슴뛰고 재밌네요...예전부터 이해가 안됐지만 왜 평점이 이리 낮은지 이해가 잘안되네요,1,1,0.98758906,0,embedding,0.4100213,0.4100213,0.4100213,-2.1588826,2.2178018,4.376684
36,train,특유의촌스러움과유치함까지사랑스럽다,1,1,0.89635515,0,embedding,-0.38104308,-0.38104308,-0.38104308,-0.9786202,1.178746,2.1573663
37,train,애들끼리 편가르고죽이는거보면서 인간의 야만성에대해 깨달음을얻었냐? 개인적으로 최악의영화였음,0,0,0.9753287,0,embedding,-0.28024122,0.28024122,0.28024122,1.8647021,-1.8124337,-3.677136
38,train,아~ 이영화는 꼭 보세요..,1,1,0.986217,0,embedding,-0.45755553,-0.45755553,-0.45755553,-2.1140277,2.156412,4.2704396
39,train,요즘 고슬링필모 따라가는데 영화들이 괜찮음. 트라우마에 관한내용....부탁을들어줄땐 선불이야 !!! 당하지말고 속지말고살자.,1,1,0.93806195,0,embedding,0.0010180101,0.0010180101,0.0010180101,-1.325475,1.3922058,2.717681
40,train,망작이다ㅡ~ㅡ,0,0,0.97618765,0,embedding,-0.39696026,0.39696026,0.39696026,1.8728706,-1.8405815,-3.713452
41,train,뭐지 이건?이라는 느낌을 받았다...,0,0,0.9772181,0,embedding,-0.58066714,0.58066714,0.58066714,1.897984,-1.8607603,-3.7587442
42,train,소방관을 꿈꾸는 사람으로써 꼭 봐야할 영화소방관으로써의 희로애락이 다 담겨있다.,1,1,0.9869775,0,embedding,-0.1109077,-0.1109077,-0.1109077,-2.1476724,2.1802967,4.327969
43,train,내가본사람중수영은최고의눈빛.(마음)을가진사람.비록연기지만 난느꼈어요.최고,1,1,0.987658,0,embedding,0.8069161,0.8069161,0.8069161,-2.1678362,2.2144897,4.382326
44,train,내 생애 최고의 영화였다,1,1,0.9868401,0,embedding,0.51667976,0.51667976,0.51667976,-2.1314816,2.1858568,4.3173385
45,train,진짜 많이 어색한데 작품성있어,0,1,0.95500976,0,embedding,0.49867627,-0.49867627,0.49867627,-1.4413995,1.6138753,3.0552747
46,train,볼만한데 평점 너무 낮네... 독특하고 소소하게 재밌다,1,1,0.98789525,0,embedding,0.50929505,0.50929505,0.50929505,-2.1655343,2.2364485,4.401983
47,train,역시 이종혁배우님>.< 연기도 짱이고 멋지고 걍 다좋음요!~,1,1,0.98795533,0,embedding,-0.009904683,-0.009904683,-0.009904683,-2.1842806,2.2227335,4.407014
48,train,"극혐, 존나 유치하더라 참고로 뷴 슈프리머시 본 얼티메이텀을 존나 재밌게 봤다. 근데 이건 뭐 ;;",0,0,0.97464925,0,embedding,0.17817935,-0.17817935,-0.17817935,1.8649275,-1.7843405,-3.6492682
49,train,ㅋㅋㅋ쫌 뻔뻔하지만 그래두 10점 줄만큼 잼잇씀!! ㅋㅋ,1,1,0.9883343,0,embedding,-0.5119096,-0.5119096,-0.5119096,-2.201244,2.2381225,4.4393663
50,train,와....이게재밋냐? 답없다 미개한애들아,0,0,0.9752304,0,embedding,-0.39309222,0.39309222,0.39309222,1.8710853,-1.8019702,-3.6730556
51,train,이 역사가 제대로 해명되지 못한 아쉬움에 만점을 못주겠다. 누가 누구를 원망하겠냐만 미군정과 이승만의 행적은 규명되어야 한다,1,1,0.9254662,0,embedding,-0.17001797,-0.17001797,-0.17001797,-1.2078888,1.3111566,2.5190454
52,train,역시 어린놈 잡아 먹기 쉽네...니네들 조상도 모르는 것들이엘지 아는착 하지 마라...,1,0,0.76926816,0,embedding,-0.009904683,-0.009904683,0.009904683,0.6728896,-0.53129375,-1.2041833
53,train,여배우 연기 최악( 일반인 데려다 쓴듯?)...스토리는 당위성을 잃은채 무엇을 말해야하는지 방황만 하다 끝난다. 올해본 최악의 영화중 하나.,0,0,0.97685826,0,embedding,-0.46109998,0.46109998,0.46109998,1.9036545,-1.8390476,-3.742702
54,train,일본하고 만화 좋아하는 지질이들이 좋아할 영화. 아는 만큼 보인다고?? 지@랄하고 있네 ㅋ,0,0,0.9580709,0,embedding,-0.7555361,0.7555361,0.7555361,1.608346,-1.5205966,-3.1289425
55,train,나 사는게 힘들다고 엄마 전화 힘없이 시큰둥하게 받은게 미안하네.. 나 키우는동안 얼마나 힘드셨을까.. 엄마 사랑합니다!,1,1,0.9851657,0,embedding,0.3500518,0.3500518,0.3500518,-2.0984132,2.097453,4.1958666
56,train,별 내용 없는데 참으로 어려운 영화였다.음악은 좋음..,0,0,0.9278703,0,embedding,-1.5273039,1.5273039,1.5273039,1.3610299,-1.1933959,-2.5544257
57,train,마지막에 팔씨름할때 로봇아빠가 이제 자기는 한계라는걸 느끼고 고쳐준다해도 안고친다하고 아빠한테 팔씨름을 해서 진짜 자기 가족을 책임질수있는지 마지막으로 확인하는것같았음...아진짜 너무 슬프다..짱구야 너의 아버지는 강하다고 말할때ㅠ,1,1,0.9807699,0,embedding,0.4410627,0.4410627,0.4410627,-1.9536284,1.9782313,3.9318597
58,train,뭔가 시체팔이 느낌이난다 마이클잭슨의디스이지잇도 시체팔이느낌이나서 싫엇는대,0,0,0.96717024,0,embedding,-0.5783563,0.5783563,0.5783563,1.7417327,-1.6413065,-3.3830392
59,train,오랜만에 빛나고 맑은 한국 영화를 만났다,1,1,0.9847424,0,embedding,0.73478925,0.73478925,0.73478925,-2.0532677,2.1140378,4.1673055
60,train,제점수는 1점 주겠습니다,0,0,0.97697645,0,embedding,-0.019567743,0.019567743,0.019567743,1.8957237,-1.8522221,-3.7479458
61,train,"실화부분은 어부가 여성두명을 배에서 추행,살해 했다는건데 굳이 생크림하고 분쇄기장면을 넣은 의도가궁금 영화검색하면 온통 생크림얘기 사건의본질과 경각심따위없음 흥행안될거같으니까 자극적인거 끼워팔려고 염병을떨어놨네ㅋ?감독개한심 실력없으면 그냥 영화접어^^",0,0,0.97633594,0,embedding,-0.022447348,0.022447348,0.022447348,1.8926289,-1.8272189,-3.7198477
62,train,타의 추종을 불허하는 장르적 쾌감,1,1,0.9462699,0,embedding,-0.10262746,-0.10262746,-0.10262746,-1.3878299,1.4807242,2.868554
63,train,내 인생 최고의 영화다.,1,1,0.987933,0,embedding,0.51667976,0.51667976,0.51667976,-2.1867788,2.218358,4.405137
64,train,소설 앵무새 죽이기를 상상했으나 뜻밖의 큰 감동,1,1,0.9838824,0,embedding,0.0980248,0.0980248,0.0980248,-2.0184388,2.093157,4.111596
65,train,기자역으로 나오는 완전 예쁜 알리시아 때문에5점준다,1,1,0.9291325,0,embedding,-0.4563191,-0.4563191,-0.4563191,-1.2501168,1.3233225,2.5734394
66,train,아주좋음,1,1,0.98633724,0,embedding,0.2554903,0.2554903,0.2554903,-2.1037767,2.1755495,4.2793264
67,train,꽤 슬프다.,1,1,0.9017937,0,embedding,0.5705385,0.5705385,0.5705385,-1.0414826,1.1758331,2.2173157
68,train,린다블레어 출연의 엑소시프트의 정통 후속작을 존 부어만 감독이 부어잡고 만들었는데도 이런 퀄리티라니.. 왠 미친 메뚜기 떼들만 마구 달려든다 아 웃겨..,0,0,0.6506257,0,embedding,-0.51739216,0.51739216,0.51739216,0.38643116,-0.23535973,-0.6217909
69,train,애세이들 보는영화네,0,0,0.97575027,0,embedding,-0.3365001,0.3365001,0.3365001,1.8850609,-1.8097386,-3.6947994
70,train,명작은 세월이 지나도 그 감동이 변하지 말아야 하지만.. 이건 다시보니.. 쩝..,0,0,0.9592319,0,embedding,0.09923317,-0.09923317,-0.09923317,1.6234745,-1.5347606,-3.158235
71,train,회사직원이랑봣는데마망합니다살짝,1,0,0.96797013,0,embedding,-0.09642204,-0.09642204,0.09642204,1.7501904,-1.6583397,-3.4085302
72,train,불륜을 너무 미화시켰다.,0,0,0.9757833,0,embedding,-0.33367217,0.33367217,0.33367217,1.8728204,-1.8233789,-3.6961994
73,train,코미디를 넣었는데 재밌지가않다. 재미도 없고 짜증만나서중간에 보다껏다. 브루스의 싼티나는 연기가 나름 충격이었다.,0,0,0.9776643,0,embedding,-0.5699905,0.5699905,0.5699905,1.9213034,-1.8576745,-3.7789779
74,train,이따위것도 영화라고 개봉처하는구나...재미더럽게없구만.. 2점부터 점수준것들M창,0,0,0.97763056,0,embedding,-1.6501573,1.6501573,1.6501573,1.9202275,-1.8572103,-3.7774377
75,train,과해~,0,0,0.59438974,0,embedding,-0.30037993,0.30037993,0.30037993,0.29045624,-0.09168622,-0.38214245
76,train,다큐멘터리 영화에 대한 새로운 경험을 하게 해준 영화,1,1,0.90138936,0,embedding,-0.00489825,-0.00489825,-0.00489825,-1.0294101,1.183348,2.212758
77,train,검색하니 이게 나오네.... 일본께 훨씬 낫지. 이건 졸작,0,0,0.9770682,0,embedding,-0.11426933,0.11426933,0.11426933,1.9040018,-1.848031,-3.7520328
78,train,뭐지????뭐지???내가 뭘본거지?돈날렸네 젠장..,0,0,0.9767194,0,embedding,-0.58066714,0.58066714,0.58066714,1.8943518,-1.8422275,-3.7365794
79,train,재밌긴 한데 약간 로봇들이 인간적임....,1,1,0.9288028,0,embedding,1.4468839,1.4468839,1.4468839,-1.2172205,1.3512233,2.5684438
80,train,감독 새끼 꼴에 각본까지 쓴다고 각본의 절반이 빠킹이네. 전작 엔드오브와치도 마찬가지. 1시간 50분동안 울려퍼지는 빠킹 때문에 귀가 얼얼하다.,0,0,0.9583083,0,embedding,-0.14857346,0.14857346,0.14857346,1.6381425,-1.4967232,-3.1348658
81,train,김현주씨 연기 넘 잘하는듯 ^^ 주말이 기다려져요,1,1,0.98785,0,embedding,-0.20455174,-0.20455174,-0.20455174,-2.1815221,2.21668,4.398202
82,train,평점보고 봤다가 개짜증만 밀려온다. 누구말을 믿을건지는 당신의 선택이겠지. 하지만 내 보고 난 뒤 후회해야 늦다. 재.미.존.나.없.다. 이것만 알아둬라.,0,0,0.97606146,0,embedding,0.23539609,-0.23539609,-0.23539609,1.8864305,-1.8216065,-3.708037
83,train,생각없이 보았다가 지금까지 머리속을 맴돈다.,1,1,0.91623473,0,embedding,0.035121374,0.035121374,0.035121374,-1.1420488,1.2502053,2.392254
84,train,재밌었다... 주연배우들이 현재 톱으로 올라섰군...,1,1,0.96899176,0,embedding,1.4468839,1.4468839,1.4468839,-1.6862633,1.7557385,3.4420018
85,train,아무리 저예산 독립영화라지만... 전달하고자하는 내용은 좋았으나 영화라고 칭하기엔 정말 별로였습니다... 극전체가 매우 쳐져있어요. 괜히 힘빠지는 영화,0,0,0.9766201,0,embedding,-0.9938799,0.9938799,0.9938799,1.8974285,-1.834794,-3.7322226
86,train,엄청웃기던데 평점이 왜이래...ㅡㅡ;;,1,1,0.98375064,0,embedding,0.60899913,0.60899913,0.60899913,-2.0122602,2.09106,4.10332
87,train,발리우드 중 감히 최고라고 해도 과언이 아닌거같아요ㅋㅋㅋ 샤룩님의 연기와 여신미모의 여주인공이 관건!!둘이 춤추는거 너무 재밌어요..ㅋ살짝살짝 나오는 인도의 문화도 볼겸 로맨틱 코미디 영화임.노래 정말 좋음!!,1,1,0.9881032,0,embedding,-0.30239764,-0.30239764,-0.30239764,-2.1822314,2.2372906,4.4195223
88,train,일단 배우들이 연기를너무 잘 소화해서 영화스토리가 더욱더 살아난거같고뻔한스토리임에도 불구하고두고두고 기억에남을 영화였다^^,1,1,0.9877313,0,embedding,-0.461591,-0.461591,-0.461591,-2.168952,2.2194028,4.388355
89,train,10년도 훨씬 전에 본 영화. 아직도 내가슴에 추억으로 남아있는...ㅎㅎ,1,1,0.9873404,0,embedding,-0.14977413,-0.14977413,-0.14977413,-2.1649587,2.1916406,4.3565993
90,train,완전 재미있게 봤던 기억이!! 너무 기대 된다!,1,1,0.9886841,0,embedding,0.3641213,0.3641213,0.3641213,-2.2243009,2.2458622,4.4701633
91,train,내내 지루하고 초반부 밀라요보비치 캐릭은 쳐답답하기까지 함 ㅋㅋ반전도 평범한데 끝으로 갈수록 개콘 시청률의제왕 수준임ㅋㅋㅋ진짜 완전 b급영화같음;;;;,0,0,0.97695595,0,embedding,-0.096436046,0.096436046,0.096436046,1.9125537,-1.8344809,-3.7470345
92,train,이렇게 지루할 수가...,0,0,0.97691965,0,embedding,-0.19616988,0.19616988,0.19616988,1.894571,-1.8508508,-3.745422
93,train,재밌어요9시30분부터 tv앞에 있네요,1,1,0.9854199,0,embedding,1.4468839,1.4468839,1.4468839,-2.0859191,2.127496,4.213415
94,train,내 인생 최고의 애니메이션!!!불후의 명작!!!,1,1,0.9878275,0,embedding,0.51667976,0.51667976,0.51667976,-2.1697967,2.2265286,4.396325
95,train,보는 내내답답한 영화 죽여도죽여도 수가안주는 뭘까?? 뭔가스토리가빈양하다...,0,0,0.9761352,0,embedding,-0.01708379,0.01708379,0.01708379,1.8818785,-1.8293182,-3.7111967
96,train,간만에 위대한 수작봤습니다.,0,1,0.75273585,0,embedding,0.44571626,-0.44571626,0.44571626,-0.4649546,0.6483026,1.1132572
97,train,이건 뭐 진짜 낚시 제대로...,0,0,0.9722387,0,embedding,-0.96342343,0.96342343,0.96342343,1.802047,-1.7539115,-3.5559585
98,train,리허설을해서이정도의퀄리티면 리허설안하고생방했으면큰일날뻔했네요.게스트는 네명인데 클라라에게 40분이상을소비하고 나머지세명의게스트들얘기할때는 시간없으니까빨리빨리를외치고.mc들은 말끊고 소리지르고 참..녹화방송으로 다시넘어가시는게 니을듯싶습니다,0,0,0.9738037,0,embedding,-0.62470895,0.62470895,0.62470895,1.8504101,-1.7651833,-3.6155934
99,train,섹스로 섹스로 끝나는 심리물(?),0,0,0.96441364,0,embedding,-0.38078403,0.38078403,0.38078403,1.7017907,-1.5977695,-3.29956
100,train,"2014년에 다시 리메이크된 작품이 따로있는줄 알았다. 이게 2014년 영화라고??? 근 10년동안 본 영화중 가장 구식연기 구식연출 구식스토리였다. 3류 성인영화에서도 이런 연출과 연기는 하지 않는다. 감독님, 영화 연출 어디서 배우셨습니까?",0,0,0.9759814,0,embedding,-0.20475271,0.20475271,0.20475271,1.8967556,-1.8078591,-3.7046146
101,train,박세현씨 한국오고 예고편인줄알았는데8부작으로 끝났네요 넘 아쉬워요ㅜㅜ또 만들어주세요 이런프로넘잼있고 설레네요,1,1,0.9877637,0,embedding,0.286878,0.286878,0.286878,-2.1679168,2.2231238,4.391041
102,train,내용도 없고 느낌도 없고 공기같은 영화,0,0,0.9770345,0,embedding,-0.62364185,0.62364185,0.62364185,1.9010073,-1.8495226,-3.7505298
103,train,"이게 영화냐? 돈줘봐, 이런거 나도만들겟다",0,0,0.97835827,0,embedding,-0.607357,0.607357,0.607357,1.9314805,-1.87977,-3.8112507
104,train,이런..생각없고 개성 없는 여주는 보다보다...제발 빨리 끝나기를..막장이라기에도 아깝다.,0,0,0.9773949,0,embedding,-0.8442715,0.8442715,0.8442715,1.9178137,-1.8488998,-3.7667136
105,train,아.... 탁.탁.탁.,1,0,0.9011798,0,embedding,-0.45755553,-0.45755553,0.45755553,1.1843916,-1.0260115,-2.210403
106,train,중반까지는 괜찮았는데 아랫분말대로 스토리 진행 진짜 안습이다,0,0,0.97674507,0,embedding,0.41081536,-0.41081536,-0.41081536,1.8952539,-1.8424569,-3.737711
107,train,사기치는 방법이 한결같아 반전의 묘미가 떨어짐,0,0,0.97549486,0,embedding,-0.49527818,0.49527818,0.49527818,1.8751606,-1.8089024,-3.684063
108,train,솔직히 첨부터끝까지 한가지 공연실황을 극장에 앉아 스크린으로 보기엔 적합치 않다,0,0,0.973511,0,embedding,-0.5637852,0.5637852,0.5637852,1.8419961,-1.7621841,-3.6041803
109,train,두 배우의 명연기. 최고네요,1,1,0.9879987,0,embedding,0.07826345,0.07826345,0.07826345,-2.1759603,2.2347076,4.410668
110,train,네 여기가 천국입니다.,1,1,0.79927444,0,embedding,0.18628667,0.18628667,0.18628667,-0.60009116,0.7816746,1.3817658
111,train,그래도 볼만했는데 평점이 너무낮네,1,1,0.9840793,0,embedding,-0.045068376,-0.045068376,-0.045068376,-2.0289662,2.0951216,4.124088
112,train,나만 잼있게 봤나? 웃겨 죽는 줄,1,1,0.9363172,0,embedding,0.23458868,0.23458868,0.23458868,-1.2647862,1.4232541,2.6880403
113,train,저런 영화처럼 엄정화는 결혼을 실제로도 못해서 노처녀,0,0,0.8299443,0,embedding,-0.5462354,0.5462354,0.5462354,0.86296964,-0.7222631,-1.5852327
114,train,역시 아역들이 짱이었다 현실에선 이해할수없는 이수연역 볼때마다짜증 한정우의 뻔뻔함에 더짜증 그냥셋다죽길바랫다면 내욕심이엇나 승호만불쌍하다,0,0,0.9566364,0,embedding,-0.009904683,0.009904683,0.009904683,1.5965761,-1.4972285,-3.0938046
115,train,흡혈귀 이야기보다는 엄마와 띠동갑 연하의 외국인 청년 사랑 이야기가 더 시선을 끔.,0,0,0.974801,0,embedding,-0.3058965,0.3058965,0.3058965,1.8715768,-1.7838516,-3.6554284
116,train,오랜만에 좋은영화 보네요..^^,1,1,0.9878169,0,embedding,0.73478925,0.73478925,0.73478925,-2.1766806,2.2187629,4.3954434
117,train,완전재미없네,0,0,0.9770133,0,embedding,0.3641213,-0.3641213,-0.3641213,1.8994828,-1.8501042,-3.749587
118,train,투모로우2라길래 봤는데 실망했다.,0,0,0.97572553,0,embedding,-0.4474501,0.4474501,0.4474501,1.8736379,-1.8201197,-3.6937575
119,train,별로 쩝,0,0,0.97236323,0,embedding,-0.6265724,0.6265724,0.6265724,1.8009111,-1.7596728,-3.5605838
120,train,개봉 전 기대만 엄청했다가 보고 엄청 실망했던영화,0,0,0.9769582,0,embedding,-0.7293905,0.7293905,0.7293905,1.9030597,-1.8440778,-3.7471375
121,train,"영화 내내 킥킥대다가도, 끝내 영화가 전하려는 진심과 숭고함에 마음이 숙연해진다. 야구치시노부 감독은 점점 성장하는 것 같다.",1,1,0.9868733,0,embedding,0.5390606,0.5390606,0.5390606,-2.1506357,2.1692605,4.319896
122,train,95년 작품인데 지금 일어날법한 일을 예견하고 있었다...,1,1,0.8608312,0,embedding,0.37618732,0.37618732,0.37618732,-0.83354324,0.9886677,1.822211
123,train,심사위원들 개인별 점수를 공개해야함..그리고 블루가 원래 안무를 그대로 썻는데도 점수가 높은건 아무리봐도 심사위원들이 블루가 그대로 썼는지~ 창작했는지~뭘 모르는것같다ㅡㅡ 그렇지않고서야 춤에 일가견있다는 심사위원들이 저따구로 점수를 줄리없다....,0,0,0.97326565,0,embedding,-0.3989479,0.3989479,0.3989479,1.8439142,-1.7507936,-3.5947077
124,train,우연한 기회로 오늘보았다 전에 영화가좋다같은데서 소재참신하길래 보다 혈압올라 쓰러지겠다 OO욕튀어나온다자식들부터 찢어죽여야한다..개빡친다,0,0,0.97527504,0,embedding,0.18255639,-0.18255639,-0.18255639,1.8716257,-1.8032836,-3.674909
125,train,그냥 일본 영화다운 재미없는 영화 말도 안되는 시나리오에 교훈만 쳐던지는 좋은 작품인데 관객이 이해못한다 그러는데 ...이해 못할 께 뭐있나 사형제도 범죄자 인권 논란...일본 문화도 처음 봤을 00년 전후로나 재미있었지 이제 질린다 질려,0,0,0.97417676,0,embedding,-0.62817156,0.62817156,0.62817156,1.8551847,-1.7751353,-3.63032
126,train,전개는 좋은데 마무리가 너무 급하다. 수작이 될 수 있었는데 평작으로 종결,0,0,0.97495663,0,embedding,-0.20875145,0.20875145,0.20875145,1.8730792,-1.7887065,-3.6617856
127,train,"-__- 글쎄요,,,,,,,,,",0,0,0.9712723,0,embedding,-0.11339754,0.11339754,0.11339754,1.7918994,-1.7288456,-3.520745
128,train,어릴때추억땜에10점사춘기때보고엄청울었다는 ㅋ,1,1,0.9863078,0,embedding,1.3187299,1.3187299,1.3187299,-2.129075,2.1480713,4.2771463
129,train,"그저 어두운 삶을 벗어나기 위한 메시지들이었던가?너무 많은 의미를 두려고 시선이 멈춘다... 버려진 냉장고든, 잡힌 문어든...그 메시지가 너무 난잡하다.읽어들이고 받아들이는 입장에선 참 스토리 짜임새가 너무 없다.",0,0,0.9764494,0,embedding,-0.6493798,0.6493798,0.6493798,1.8993325,-1.8254355,-3.7247682
130,train,우루과이 영화처음인데 이거 참 수작입니다!!!,1,1,0.9880436,0,embedding,0.1825564,0.1825564,0.1825564,-2.1865098,2.227955,4.414465
131,train,그냥 잘 모르겠다 혼란스러움,0,0,0.9753177,0,embedding,-0.62817156,0.62817156,0.62817156,1.8631167,-1.8135614,-3.6766782
132,train,상당히 충격인듯...,1,1,0.72538126,0,embedding,0.5435288,0.5435288,0.5435288,-0.3860963,0.5852175,0.9713138
133,train,그냥욕먹지말고 여군특집그만하는게 좋을꺼같네요.저는 보기싫은게 아니라 욕하는사람들이 싫어서정말 그만했으면 좋겠어요.,0,0,0.9764698,0,embedding,-0.62817156,0.62817156,0.62817156,1.9037625,-1.8218979,-3.7256603
